Id,Time[ns],1:UART: RX/TX
1,7604710080.00,[0D]
2,7604720920.00,[0A]
3,7604731760.00,O
4,7604742600.00,K
5,7604753480.00,[0D]
6,7604764320.00,[0A]
7,7606316680.00,[0D]
8,7606327520.00,[0A]
9,7606338360.00,+
10,7606349200.00,M
11,7606360040.00,L
12,7606370920.00,P
13,7606381760.00,M
14,7606392600.00,C
15,7606403440.00,F
16,7606414280.00,G
17,7606425160.00,:
18,7606436000.00,[20]
19,7606446840.00,"
20,7606457680.00,s
21,7606468520.00,l
22,7606479400.00,e
23,7606490240.00,e
24,7606501080.00,p
25,7606511920.00,m
26,7606522760.00,o
27,7606533640.00,d
28,7606544480.00,e
29,7606555320.00,"
30,7606566160.00,,
31,7606577000.00,0
32,7606587880.00,[0D]
33,7606598720.00,[0A]
34,7606609560.00,[0D]
35,7606620400.00,[0A]
36,7606631240.00,O
37,7606642120.00,K
38,7606652960.00,[0D]
39,7606663800.00,[0A]
40,7607759440.00,[0D]
41,7607770320.00,[0A]
42,7607781160.00,O
43,7607792000.00,K
44,7607802840.00,[0D]
45,7607813680.00,[0A]
46,7608497120.00,[0D]
47,7608507960.00,[0A]
48,7608518800.00,M
49,7608529640.00,L
50,7608540520.00,3
51,7608551360.00,0
52,7608562200.00,7
53,7608573040.00,R
54,7608583880.00,-
55,7608594760.00,D
56,7608605600.00,L
57,7608616440.00,-
58,7608627280.00,M
59,7608638160.00,B
60,7608649000.00,R
61,7608659840.00,H
62,7608670680.00,0
63,7608681520.00,S
64,7608692400.00,0
65,7608703240.00,1
66,7608714080.00,[0D]
67,7608724920.00,[0A]
68,7608735760.00,[0D]
69,7608746600.00,[0A]
70,7608757480.00,O
71,7608768320.00,K
72,7608779160.00,[0D]
73,7608790000.00,[0A]
74,7609683880.00,[0D]
75,7609694720.00,[0A]
76,7609705600.00,+
77,7609716440.00,C
78,7609727280.00,P
79,7609738120.00,I
80,7609749000.00,N
81,7609759840.00,:
82,7609770680.00,[20]
83,7609781520.00,R
84,7609792360.00,E
85,7609803200.00,A
86,7609814080.00,D
87,7609824920.00,Y
88,7609835760.00,[0D]
89,7609846600.00,[0A]
90,7609857440.00,[0D]
91,7609868320.00,[0A]
92,7609879160.00,O
93,7609890000.00,K
94,7609900840.00,[0D]
95,7609911680.00,[0A]
96,7611035560.00,[0D]
97,7611046400.00,[0A]
98,7611057240.00,O
99,7611068080.00,K
100,7611078960.00,[0D]
101,7611089800.00,[0A]
102,7612052000.00,[0D]
103,7612062880.00,[0A]
104,7612073720.00,+
105,7612084560.00,C
106,7612095400.00,E
107,7612106240.00,R
108,7612117120.00,E
109,7612127960.00,G
110,7612138800.00,:
111,7612149640.00,[20]
112,7612160480.00,2
113,7612171320.00,,
114,7612182200.00,1
115,7612193040.00,,
116,7612203880.00,"
117,7612214720.00,5
118,7612225600.00,1
119,7612236440.00,4
120,7612247280.00,1
121,7612258120.00,"
122,7612268960.00,,
